id,person_id,place,receive_time,sensor_num,x_coordinate,y_coordinate,size,area1_stay_time,area2_stay_time
0,2021020800010033767,0001,2021-02-08 22:00:14.097,2,13715,2968,538,0,0
1,2021020800010033772,0001,2021-02-08 22:00:14.097,2,13834,2252,613,0,0
2,2021020800010033767,0001,2021-02-08 22:00:15.112,2,12281,3032,611,0,0
3,2021020800010033772,0001,2021-02-08 22:00:15.112,2,12319,2338,548,0,0
4,2021020800010033767,0001,2021-02-08 22:00:16.127,2,10685,3086,654,0,0
5,2021020800010033772,0001,2021-02-08 22:00:16.127,2,10748,2308,626,0,0
6,2021020800010033767,0001,2021-02-08 22:00:17.143,2,9165,3108,605,1,1
7,2021020800010033772,0001,2021-02-08 22:00:17.143,2,9192,2335,580,1,1
8,2021020800010033767,0001,2021-02-08 22:00:18.158,2,7536,3160,643,1,1
9,2021020800010033772,0001,2021-02-08 22:00:18.158,2,7874,2756,1252,1,1
10,2021020800010033775,0001,2021-02-08 22:00:18.158,2,7500,2438,561,0,0
11,2021020800010033767,0001,2021-02-08 22:00:19.174,2,5958,3198,659,2,2
12,2021020800010033772,0001,2021-02-08 22:00:19.174,2,7874,2756,1252,2,2
13,2021020800010033775,0001,2021-02-08 22:00:19.174,2,5999,2426,580,0,0
14,2021020800010033767,0001,2021-02-08 22:00:20.189,2,4458,3271,679,2,2
15,2021020800010033772,0001,2021-02-08 22:00:20.189,2,7874,2756,1252,2,2
16,2021020800010033775,0001,2021-02-08 22:00:20.189,2,4468,2459,540,0,0
17,2021020800010033767,0001,2021-02-08 22:00:21.204,2,2872,3353,606,2,2
18,2021020800010033775,0001,2021-02-08 22:00:21.204,2,2796,2523,424,1,1
19,2021020800010033767,0001,2021-02-08 22:00:22.206,2,1608,3657,610,3,3
20,2021020800010033771,0001,2021-02-08 22:00:22.206,2,12833,2191,424,0,0
21,2021020800010033775,0001,2021-02-08 22:00:22.206,2,1321,2779,394,1,1
22,2021020800010033767,0001,2021-02-08 22:00:23.221,2,196,4002,395,3,3
23,2021020800010033771,0001,2021-02-08 22:00:23.221,2,11432,2340,457,0,0
24,2021020800010033771,0001,2021-02-08 22:00:24.236,2,10064,2369,454,1,1
25,2021020800010033771,0001,2021-02-08 22:00:25.252,2,8775,2351,475,1,1
26,2021020800010033771,0001,2021-02-08 22:00:26.267,2,7384,2417,509,1,1
27,2021020800010033771,0001,2021-02-08 22:00:27.282,2,5976,2492,540,2,2
28,2021020800010033771,0001,2021-02-08 22:00:28.298,2,4623,2514,526,2,2
29,2021020800010033771,0001,2021-02-08 22:00:29.313,2,3274,2543,547,3,3
30,2021020800010033771,0001,2021-02-08 22:00:30.329,2,1978,2667,530,3,3
31,2021020800010033771,0001,2021-02-08 22:00:31.344,2,886,2910,364,4,4
32,2021020800010033786,0001,2021-02-08 22:02:16.845,2,13210,3800,544,0,0
33,2021020800010033786,0001,2021-02-08 22:02:17.86,2,11842,4020,546,0,0
34,2021020800010033786,0001,2021-02-08 22:02:18.876,2,10562,4322,458,1,1
35,2021020800010033786,0001,2021-02-08 22:02:19.891,2,9268,4361,416,1,1
36,2021020800010033786,0001,2021-02-08 22:02:20.907,2,7702,4336,428,1,1
37,2021020800010033786,0001,2021-02-08 22:02:21.922,2,6391,4475,409,2,2
38,2021020800010033786,0001,2021-02-08 22:02:22.924,2,5029,4587,446,2,2
39,2021020800010033786,0001,2021-02-08 22:02:23.939,2,3613,4607,450,3,3
40,2021020800010033786,0001,2021-02-08 22:02:24.954,2,2029,4480,537,3,3
41,2021020800010033786,0001,2021-02-08 22:02:25.97,2,671,4441,418,3,3
42,2021020800010033787,0001,2021-02-08 22:03:06.557,2,13989,3051,392,0,0
43,2021020800010033787,0001,2021-02-08 22:03:07.559,2,12548,3254,477,0,0
44,2021020800010033787,0001,2021-02-08 22:03:08.574,2,10956,3402,501,0,0
45,2021020800010033787,0001,2021-02-08 22:03:09.589,2,9553,3431,538,1,1
46,2021020800010033787,0001,2021-02-08 22:03:10.605,2,8073,3491,509,1,1
47,2021020800010033787,0001,2021-02-08 22:03:11.62,2,6591,3598,497,2,2
48,2021020800010033787,0001,2021-02-08 22:03:12.635,2,5184,3770,531,2,2
49,2021020800010033787,0001,2021-02-08 22:03:13.651,2,3532,3913,533,2,2
50,2021020800010033787,0001,2021-02-08 22:03:14.666,2,2001,3981,478,3,3
51,2021020800010033787,0001,2021-02-08 22:03:15.682,2,501,4098,400,3,3
52,2021020800010033793,0001,2021-02-08 22:04:26.7,2,14092,2697,538,0,0
53,2021020800010033793,0001,2021-02-08 22:04:27.716,2,12885,2971,533,0,0
54,2021020800010033793,0001,2021-02-08 22:04:28.731,2,11648,3231,530,0,0
55,2021020800010033793,0001,2021-02-08 22:04:29.747,2,10290,3318,520,1,1
56,2021020800010033793,0001,2021-02-08 22:04:30.762,2,8982,3337,556,1,1
57,2021020800010033793,0001,2021-02-08 22:04:31.777,2,7744,3410,613,2,2
58,2021020800010033793,0001,2021-02-08 22:04:32.793,2,6403,3407,586,2,2
59,2021020800010033794,0001,2021-02-08 22:04:32.793,2,13184,3473,641,0,0
60,2021020800010033793,0001,2021-02-08 22:04:33.808,2,5092,3422,585,2,2
61,2021020800010033794,0001,2021-02-08 22:04:33.808,2,11815,3361,611,0,0
62,2021020800010033793,0001,2021-02-08 22:04:34.824,2,3733,3459,580,3,3
63,2021020800010033794,0001,2021-02-08 22:04:34.824,2,10240,3354,548,1,1
64,2021020800010033793,0001,2021-02-08 22:04:35.839,2,2456,3335,380,3,3
65,2021020800010033794,0001,2021-02-08 22:04:35.839,2,8851,3355,588,1,1
66,2021020800010033793,0001,2021-02-08 22:04:36.854,2,1275,3521,424,4,4
67,2021020800010033794,0001,2021-02-08 22:04:36.854,2,7459,3381,611,1,1
68,2021020800010033794,0001,2021-02-08 22:04:37.856,2,5861,3370,631,2,2
69,2021020800010033794,0001,2021-02-08 22:04:38.871,2,4535,3376,592,2,2
70,2021020800010033794,0001,2021-02-08 22:04:39.886,2,3178,3392,575,3,3
71,2021020800010033794,0001,2021-02-08 22:04:40.902,2,1781,3357,364,3,3
72,2021020800010033794,0001,2021-02-08 22:04:41.917,2,300,3589,560,3,3
73,2021020800010033803,0001,2021-02-08 22:06:10.172,2,14223,1855,387,0,0
74,2021020800010033803,0001,2021-02-08 22:06:11.187,2,12999,1963,531,0,0
75,2021020800010033805,0001,2021-02-08 22:06:11.187,2,13203,1107,397,0,0
76,2021020800010033803,0001,2021-02-08 22:06:12.203,2,11976,2030,437,0,0
77,2021020800010033805,0001,2021-02-08 22:06:12.203,2,12099,1216,405,0,0
78,2021020800010033803,0001,2021-02-08 22:06:13.218,2,10744,2233,580,1,1
79,2021020800010033805,0001,2021-02-08 22:06:13.218,2,10953,1347,527,0,0
80,2021020800010033803,0001,2021-02-08 22:06:14.234,2,9649,2250,562,1,1
81,2021020800010033805,0001,2021-02-08 22:06:14.234,2,9765,1483,515,1,1
82,2021020800010033803,0001,2021-02-08 22:06:15.249,2,8448,2265,619,2,2
83,2021020800010033805,0001,2021-02-08 22:06:15.249,2,8557,1492,531,1,1
84,2021020800010033803,0001,2021-02-08 22:06:16.265,2,7273,2225,537,2,2
85,2021020800010033805,0001,2021-02-08 22:06:16.265,2,7331,1442,497,2,2
86,2021020800010033803,0001,2021-02-08 22:06:17.28,2,6081,2183,564,2,2
87,2021020800010033805,0001,2021-02-08 22:06:17.28,2,6116,1457,590,2,2
88,2021020800010033803,0001,2021-02-08 22:06:18.295,2,4965,2212,529,3,3
89,2021020800010033805,0001,2021-02-08 22:06:18.295,2,4822,1524,508,3,3
90,2021020800010033803,0001,2021-02-08 22:06:19.311,2,3765,2276,449,3,3
91,2021020800010033805,0001,2021-02-08 22:06:19.311,2,3564,1684,432,3,3
92,2021020800010033803,0001,2021-02-08 22:06:20.326,2,2640,2509,367,4,4
93,2021020800010033805,0001,2021-02-08 22:06:20.326,2,2362,1766,479,3,3
94,2021020800010033803,0001,2021-02-08 22:06:21.342,2,1674,2686,559,4,4
95,2021020800010033805,0001,2021-02-08 22:06:21.342,2,1244,2128,441,4,4
96,2021020800010033803,0001,2021-02-08 22:06:22.343,2,1403,2698,569,4,4
97,2021020800010033805,0001,2021-02-08 22:06:22.343,2,247,2350,461,4,4
98,2021020800010033803,0001,2021-02-08 22:06:23.358,2,1403,2698,569,5,5
99,2021020800010033814,0001,2021-02-08 22:06:44.667,2,109,1851,657,0,0
100,2021020800010033814,0001,2021-02-08 22:06:45.683,2,1530,1723,697,0,0
101,2021020800010033814,0001,2021-02-08 22:06:46.698,2,2776,1653,658,0,0
102,2021020800010033814,0001,2021-02-08 22:06:47.713,2,4199,1655,672,1,1
103,2021020800010033814,0001,2021-02-08 22:06:48.729,2,5490,1640,381,1,1
104,2021020800010033814,0001,2021-02-08 22:06:49.744,2,6819,1605,367,2,2
