id,person_id,place,receive_time,sensor_num,x_coordinate,y_coordinate,size,area1_stay_time,area2_stay_time
0,2021021100010001464,0001,2021-02-11 06:00:38.347,2,525,2814,690,0,0
1,2021021100010001464,0001,2021-02-11 06:00:39.362,2,2102,2458,680,0,0
2,2021021100010001464,0001,2021-02-11 06:00:40.377,2,3715,2161,617,0,0
3,2021021100010001464,0001,2021-02-11 06:00:41.393,2,4894,2037,587,1,1
4,2021021100010001466,0001,2021-02-11 06:00:41.393,2,5228,1991,570,0,0
5,2021021100010001464,0001,2021-02-11 06:00:42.408,2,4894,2037,587,1,1
6,2021021100010001466,0001,2021-02-11 06:00:42.408,2,7051,1958,659,0,0
7,2021021100010001464,0001,2021-02-11 06:00:43.424,2,4894,2037,587,2,2
8,2021021100010001466,0001,2021-02-11 06:00:43.424,2,8700,1747,672,0,0
9,2021021100010001466,0001,2021-02-11 06:00:44.439,2,10239,1549,717,1,1
10,2021021100010001466,0001,2021-02-11 06:00:45.454,2,11936,1515,675,1,1
11,2021021100010001466,0001,2021-02-11 06:00:46.47,2,13515,1383,692,2,2
12,2021021100010001524,0001,2021-02-11 06:21:27.078,2,74,4002,558,0,0
13,2021021100010001524,0001,2021-02-11 06:21:28.093,2,1523,4079,571,0,0
14,2021021100010001524,0001,2021-02-11 06:21:29.109,2,2864,3754,560,0,0
15,2021021100010001526,0001,2021-02-11 06:21:29.109,2,2829,4781,371,0,0
16,2021021100010001524,0001,2021-02-11 06:21:30.124,2,4340,3807,606,1,1
17,2021021100010001526,0001,2021-02-11 06:21:30.124,2,4137,4700,392,0,0
18,2021021100010001524,0001,2021-02-11 06:21:31.139,2,5916,3977,683,1,1
19,2021021100010001526,0001,2021-02-11 06:21:31.139,2,5489,4666,398,0,0
20,2021021100010001524,0001,2021-02-11 06:21:32.155,2,7279,3956,673,2,2
21,2021021100010001526,0001,2021-02-11 06:21:32.155,2,6763,4603,373,1,1
22,2021021100010001524,0001,2021-02-11 06:21:33.17,2,8765,3996,678,2,2
23,2021021100010001526,0001,2021-02-11 06:21:33.17,2,8193,4588,411,1,1
24,2021021100010001524,0001,2021-02-11 06:21:34.186,2,10122,3964,636,2,2
25,2021021100010001526,0001,2021-02-11 06:21:34.186,2,9079,4526,446,1,1
26,2021021100010001524,0001,2021-02-11 06:21:35.201,2,11474,3868,691,3,3
27,2021021100010001526,0001,2021-02-11 06:21:35.201,2,10260,4413,356,2,2
28,2021021100010001524,0001,2021-02-11 06:21:36.202,2,12785,3757,644,3,3
29,2021021100010001526,0001,2021-02-11 06:21:36.202,2,10260,4413,356,2,2
30,2021021100010001530,0001,2021-02-11 06:21:36.202,2,12048,4217,351,0,0
