id,person_id,place,receive_time,sensor_num,x_coordinate,y_coordinate,size,area1_stay_time,area2_stay_time
0,2021013000010021437,0001,2021-01-30 18:00:00.645,2,11149,3385,619,4,4
1,2021013000010021437,0001,2021-01-30 18:00:01.66,2,12195,3384,612,4,4
2,2021013000010021437,0001,2021-01-30 18:00:02.676,2,13190,3301,428,5,5
3,2021013000010021437,0001,2021-01-30 18:00:03.691,2,14223,3402,483,5,5
4,2021013000010021445,0001,2021-01-30 18:00:16.877,2,185,2340,505,0,0
5,2021013000010021445,0001,2021-01-30 18:00:17.892,2,1286,2203,450,0,0
6,2021013000010021445,0001,2021-01-30 18:00:18.908,2,2408,2095,503,0,0
7,2021013000010021445,0001,2021-01-30 18:00:19.923,2,3327,1953,499,1,1
8,2021013000010021445,0001,2021-01-30 18:00:20.938,2,4460,1930,498,1,1
9,2021013000010021445,0001,2021-01-30 18:00:21.954,2,5517,2076,490,2,2
10,2021013000010021445,0001,2021-01-30 18:00:22.969,2,6771,2168,497,2,2
11,2021013000010021445,0001,2021-01-30 18:00:23.985,2,7913,2194,502,2,2
12,2021013000010021445,0001,2021-01-30 18:00:25,2,9123,2232,492,3,3
13,2021013000010021445,0001,2021-01-30 18:00:26.001,2,10331,2313,509,3,3
14,2021013000010021445,0001,2021-01-30 18:00:27.017,2,11541,2350,499,4,4
15,2021013000010021445,0001,2021-01-30 18:00:28.032,2,12856,2579,499,4,4
16,2021013000010021445,0001,2021-01-30 18:00:29.048,2,14023,2463,485,4,4
17,2021013000010021450,0001,2021-01-30 18:00:30.063,2,983,3063,587,0,0
18,2021013000010021450,0001,2021-01-30 18:00:31.078,2,2589,3057,647,0,0
19,2021013000010021450,0001,2021-01-30 18:00:32.094,2,4108,2960,666,1,1
20,2021013000010021450,0001,2021-01-30 18:00:33.109,2,5590,2801,683,1,1
21,2021013000010021450,0001,2021-01-30 18:00:34.124,2,7116,2483,662,1,1
22,2021013000010021450,0001,2021-01-30 18:00:35.14,2,8619,2368,513,2,2
23,2021013000010021453,0001,2021-01-30 18:00:35.14,2,1381,2907,402,0,0
24,2021013000010021450,0001,2021-01-30 18:00:36.155,2,10111,2402,599,2,2
25,2021013000010021453,0001,2021-01-30 18:00:36.155,2,2921,2929,537,0,0
26,2021013000010021450,0001,2021-01-30 18:00:37.171,2,11670,2532,531,3,3
27,2021013000010021453,0001,2021-01-30 18:00:37.171,2,4441,2944,540,1,1
28,2021013000010021450,0001,2021-01-30 18:00:38.186,2,13207,2472,599,3,3
29,2021013000010021453,0001,2021-01-30 18:00:38.186,2,5884,2985,573,1,1
30,2021013000010021453,0001,2021-01-30 18:00:39.201,2,7283,2981,566,1,1
31,2021013000010021453,0001,2021-01-30 18:00:40.217,2,8680,3033,577,2,2
32,2021013000010021453,0001,2021-01-30 18:00:41.218,2,10212,3124,578,2,2
33,2021013000010021453,0001,2021-01-30 18:00:42.234,2,11674,3074,530,3,3
34,2021013000010021453,0001,2021-01-30 18:00:43.249,2,13187,2982,440,3,3
35,2021013000010021461,0001,2021-01-30 18:00:55.434,2,893,1705,390,0,0
36,2021013000010021461,0001,2021-01-30 18:00:56.435,2,2277,1671,479,0,0
37,2021013000010021461,0001,2021-01-30 18:00:57.45,2,3799,1647,521,0,0
38,2021013000010021461,0001,2021-01-30 18:00:58.465,2,5276,1629,528,1,1
39,2021013000010021461,0001,2021-01-30 18:00:59.481,2,6801,1696,496,1,1
40,2021013000010021461,0001,2021-01-30 18:01:00.496,2,8214,1785,524,2,2
41,2021013000010021461,0001,2021-01-30 18:01:01.512,2,9651,1790,538,2,2
